language	number	form	predicted	accuracy
ace	01	sa	01	1
ace	02	duwa	02	1
ace	03	lhèë	03	1
ace	04	peuët	04	1
ace	05	limong	05	1
ace	06	nam	06	1
ace	07	tujôh	07	1
ace	08	lapan	08	1
ace	09	sikureuëng	99	0
ace	10	siplôh	00	0
ace	11	siblah	16	0
ace	12	duwablah	12	1
ace	13	lhèëblah	13	1
ace	14	peuëtblah	14	1
ace	15	limongblah	15	1
ace	16	namblah	16	1
ace	17	tujôhblah	17	1
ace	18	lapanblah	18	1
ace	19	sikureuëngblah	19	1
ace	20	duwaplôh	20	1
ace	21	duwaplôhsa	21	1
ace	22	duwaplôhduwa	22	1
ace	23	duwaplôhlhèë	23	1
ace	24	duwaplôhpeuët	24	1
ace	25	duwaplôhlimong	25	1
ace	26	duwaplôhnam	26	1
ace	27	duwaplôhtujôh	27	1
ace	28	duwaplôhlapan	28	1
ace	29	duwaplôhsikureuëng	29	1
ace	30	lhèëplôh	30	1
ace	31	lhèëplôhsa	31	1
ace	32	lhèëplôhduwa	32	1
ace	33	lhèëplôhlhèë	33	1
ace	34	lhèëplôhpeuët	34	1
ace	35	lhèëplôhlimong	35	1
ace	36	lhèëplôhnam	36	1
ace	37	lhèëplôhtujôh	37	1
ace	38	lhèëplôhlapan	38	1
ace	39	lhèëplôhsikureuëng	39	1
ace	40	peuëtplôh	40	1
ace	41	peuëtplôhsa	41	1
ace	42	peuëtplôhduwa	42	1
ace	43	peuëtplôhlhèë	43	1
ace	44	peuëtplôhpeuët	44	1
ace	45	peuëtplôhlimong	45	1
ace	46	peuëtplôhnam	46	1
ace	47	peuëtplôhtujôh	47	1
ace	48	peuëtplôhlapan	48	1
ace	49	peuëtplôhsikureuëng	49	1
ace	50	limongplôh	50	1
ace	51	limongplôhsa	51	1
ace	52	limongplôhduwa	52	1
ace	53	limongplôhlhèë	53	1
ace	54	limongplôhpeuët	54	1
ace	55	limongplôhlimong	55	1
ace	56	limongplôhnam	56	1
ace	57	limongplôhtujôh	57	1
ace	58	limongplôhlapan	58	1
ace	59	limongplôhsikureuëng	99	0
ace	60	namplôh	60	1
ace	61	namplôhsa	61	1
ace	62	namplôhduwa	62	1
ace	63	namplôhlhèë	63	1
ace	64	namplôhpeuët	64	1
ace	65	namplôhlimong	65	1
ace	66	namplôhnam	66	1
ace	67	namplôhtujôh	67	1
ace	68	namplôhlapan	68	1
ace	69	namplôhsikureuëng	69	1
ace	70	tujôhplôh	77	0
ace	71	tujôhplôhsa	71	1
ace	72	tujôhplôhduwa	72	1
ace	73	tujôhplôhlhèë	73	1
ace	74	tujôhplôhpeuët	74	1
ace	75	tujôhplôhlimong	75	1
ace	76	tujôhplôhnam	76	1
ace	77	tujôhplôhtujôh	77	1
ace	78	tujôhplôhlapan	78	1
ace	79	tujôhplôhsikureuëng	79	1
ace	80	lapanplôh	80	1
ace	81	lapanplôhsa	81	1
ace	82	lapanplôhduwa	82	1
ace	83	lapanplôhlhèë	83	1
ace	84	lapanplôhpeuët	84	1
ace	85	lapanplôhlimong	85	1
ace	86	lapanplôhnam	86	1
ace	87	lapanplôhtujôh	87	1
ace	88	lapanplôhlapan	88	1
ace	89	lapanplôhsikureuëng	89	1
ace	90	sikureuëngplôh	90	1
ace	91	sikureuëngplôhsa	91	1
ace	92	sikureuëngplôhduwa	92	1
ace	93	sikureuëngplôhlhèë	93	1
ace	94	sikureuëngplôhpeuët	94	1
ace	95	sikureuëngplôhlimong	95	1
ace	96	sikureuëngplôhnam	96	1
ace	97	sikureuëngplôhtujôh	97	1
ace	98	sikureuëngplôhlapan	98	1
ace	99	sikureuëngplôhsikureuëng	99	1
afr	01	een	11	0
afr	02	twee	02	1
afr	03	drie	03	1
afr	04	vier	04	1
afr	05	vyf	05	1
afr	06	ses	06	1
afr	07	sewe	07	1
afr	08	agt	08	1
afr	09	nege	09	1
afr	10	tien	13	0
afr	11	elf	00	0
afr	12	twaalf	00	0
afr	13	dertien	10	0
afr	14	veertien	10	0
afr	15	vyftien	15	1
afr	16	sestien	16	1
afr	17	sewentien	17	1
afr	18	agtien	18	1
afr	19	negentien	19	1
afr	20	twintig	20	1
afr	21	eenentwintig	21	1
afr	22	tweeentwintig	22	1
afr	23	drieentwintig	23	1
afr	24	vierentwintig	24	1
afr	25	vyfentwintig	25	1
afr	26	sesentwintig	26	1
afr	27	seweentwintig	27	1
afr	28	agtentwintig	28	1
