language	number	form	predicted	accuracy
Adi	01	ɑtəl	01	1
Adi	02	ɑɲɲi	00	0
Adi	03	ɑŋum	03	1
Adi	04	ɑppi	04	1
Adi	05	pilŋo	05	1
Adi	06	ɑkke	06	1
Adi	07	kɨnɨt	07	1
Adi	08	pɨ:ɲi	08	1
Adi	09	konɑŋ	09	1
Adi	10	ɨjiŋ	00	0
Adi	11	ɨjiŋkolɑŋɑtəl	11	1
Adi	12	ɨjiŋkolɑŋɑɲɲi	12	1
Adi	13	ɨjiŋkolɑŋɑŋum	13	1
Adi	14	ɨjiŋkolɑŋɑppi	14	1
Adi	15	ɨjiŋkolɑŋpilŋo	15	1
Adi	16	ɨjiŋkolɑŋɑkke	16	1
Adi	17	ɨjiŋkolɑŋkɨnɨt	77	0
Adi	18	ɨjiŋkolɑŋpɨ:ɲi	18	1
Adi	19	ɨjiŋkolɑŋkonɑŋ	99	0
Adi	20	ɨjiŋɑɲɲi	20	1
Adi	21	ɨjiŋɑɲɲikolɑŋɑtəl	21	1
Adi	22	ɨjiŋɑɲɲikolɑŋɑɲɲi	22	1
Adi	23	ɨjiŋɑɲɲikolɑŋɑŋum	23	1
Adi	24	ɨjiŋɑɲɲikolɑŋɑppi	24	1
Adi	25	ɨjiŋɑɲɲikolɑŋpilŋo	25	1
Adi	26	ɨjiŋɑɲɲikolɑŋɑkke	26	1
Adi	27	ɨjiŋɑɲɲikolɑŋkɨnɨt	27	1
Adi	28	ɨjiŋɑɲɲikolɑŋpɨ:ɲi	28	1
Adi	29	ɨjiŋɑɲɲikolɑŋkonɑŋ	29	1
Adi	30	ɨjiŋɑŋum	33	0
Adi	31	ɨjiŋɑŋumkolɑŋɑtəl	31	1
Adi	32	ɨjiŋɑŋumkolɑŋɑɲɲi	32	1
Adi	33	ɨjiŋɑŋumkolɑŋɑŋum	33	1
Adi	34	ɨjiŋɑŋumkolɑŋɑppi	34	1
Adi	35	ɨjiŋɑŋumkolɑŋpilŋo	35	1
Adi	36	ɨjiŋɑŋumkolɑŋɑkke	36	1
Adi	37	ɨjiŋɑŋumkolɑŋkɨnɨt	37	1
Adi	38	ɨjiŋɑŋumkolɑŋpɨ:ɲi	38	1
Adi	39	ɨjiŋɑŋumkolɑŋkonɑŋ	39	1
Adi	40	ɨjiŋɑppi	44	0
Adi	41	ɨjiŋɑppikolɑŋɑtəl	41	1
Adi	42	ɨjiŋɑppikolɑŋɑɲɲi	42	1
Adi	43	ɨjiŋɑppikolɑŋɑŋum	43	1
Adi	44	ɨjiŋɑppikolɑŋɑppi	44	1
Adi	45	ɨjiŋɑppikolɑŋpilŋo	45	1
Adi	46	ɨjiŋɑppikolɑŋɑkke	46	1
Adi	47	ɨjiŋɑppikolɑŋkɨnɨt	47	1
Adi	48	ɨjiŋɑppikolɑŋpɨ:ɲi	48	1
Adi	49	ɨjiŋɑppikolɑŋkonɑŋ	49	1
Adi	50	ɨjiŋpilŋo	55	0
Adi	51	ɨjiŋpilŋokolɑŋɑtəl	51	1
Adi	52	ɨjiŋpilŋokolɑŋɑɲɲi	52	1
Adi	53	ɨjiŋpilŋokolɑŋɑŋum	53	1
Adi	54	ɨjiŋpilŋokolɑŋɑppi	54	1
Adi	55	ɨjiŋpilŋokolɑŋpilŋo	55	1
Adi	56	ɨjiŋpilŋokolɑŋɑkke	56	1
Adi	57	ɨjiŋpilŋokolɑŋkɨnɨt	57	1
Adi	58	ɨjiŋpilŋokolɑŋpɨ:ɲi	58	1
Adi	59	ɨjiŋpilŋokolɑŋkonɑŋ	59	1
Adi	60	ɨjiŋɑkke	66	0
Adi	61	ɨjiŋɑkkekolɑŋɑtəl	61	1
Adi	62	ɨjiŋɑkkekolɑŋɑɳɳi	62	1
Adi	63	ɨjiŋɑkkekolɑŋɑŋum	63	1
Adi	64	ɨjiŋɑkkekolɑŋɑppi	64	1
Adi	65	ɨjiŋɑkkekolɑŋpilŋo	65	1
Adi	66	ɨjiŋɑkkekolɑŋɑkke	66	1
Adi	67	ɨjiŋɑkkekolɑŋkɨnɨt	67	1
Adi	68	ɨjiŋɑkkekolɑŋpɨ:ɳi	68	1
Adi	69	ɨjiŋɑkkekolɑŋkonɑŋ	69	1
Adi	70	ɨjiŋkɨnɨt	17	0
Adi	71	ɨjiŋkɨnɨtkolɑŋɑtəl	71	1
Adi	72	ɨjiŋkɨnɨtkolɑŋɑɳɳi	72	1
Adi	73	ɨjiŋkɨnɨtkolɑŋɑŋum	73	1
Adi	74	ɨjiŋkɨnɨtkolɑŋɑppi	74	1
Adi	75	ɨjiŋkɨnɨtkolɑŋpilŋo	75	1
Adi	76	ɨjiŋkɨnɨtkolɑŋɑkke	76	1
Adi	77	ɨjiŋkɨnɨtkolɑŋkɨnɨt	77	1
Adi	78	ɨjiŋkɨnɨtkolɑŋpɨ:ɳi	78	1
Adi	79	ɨjiŋkɨnɨtkolɑŋkonɑŋ	99	0
Adi	80	ɨjiŋpɨ:ɳi	80	1
Adi	81	ɨjiŋpɨ:ɳikolɑŋɑtəl	81	1
Adi	82	ɨjiŋpɨ:ɳikolɑŋɑɳɳi	82	1
Adi	83	ɨjiŋpɨ:ɳikolɑŋɑŋum	83	1
Adi	84	ɨjiŋpɨ:ɳikolɑŋɑppi	84	1
Adi	85	ɨjiŋpɨ:ɳikolɑŋpilŋo	85	1
Adi	86	ɨjiŋpɨ:ɳikolɑŋɑɑkke	86	1
Adi	87	ɨjiŋpɨ:ɳikolɑŋkɨnɨt	87	1
Adi	88	ɨjiŋpɨ:ɳikolɑŋpɨ:ɳi	88	1
Adi	89	ɨjiŋpɨ:ɳikolɑŋkonɑŋ	89	1
Adi	90	ɨjiŋkonɑŋ	19	0
Adi	91	ɨjiŋkonɑŋkolɑŋɑtəl	91	1
Adi	92	ɨjiŋkonɑŋkolɑŋɑɳɳi	92	1
Adi	93	ɨjiŋkonɑŋkolɑŋɑŋum	93	1
Adi	94	ɨjiŋkonɑŋkolɑŋɑppi	94	1
Adi	95	ɨjiŋkonɑŋkolɑŋpilŋo	95	1
Adi	96	ɨjiŋkonɑŋkolɑŋɑkke	96	1
Adi	97	ɨjiŋkonɑŋkolɑŋkɨnɨt	97	1
Adi	98	ɨjiŋkonɑŋkolɑŋpɨ:ɳi	98	1
Adi	99	ɨjiŋkonɑŋkolɑŋkonɑŋ	99	1
AgamNyishi	01	kin	01	1
AgamNyishi	02	ni	02	1
AgamNyishi	03	om	03	1
AgamNyishi	04	pʰi	04	1
AgamNyishi	05	ŋo	05	1
AgamNyishi	06	kʰe	06	1
AgamNyishi	07	kɘn	07	1
AgamNyishi	08	pin	08	1
AgamNyishi	09	kʰja	09	1
